StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
D0           d            40.0         50.0         0.0          0.0          3390.0       0.0          0            
S0           f            40.0         50.0         0.0          0.0          3390.0       0.0          0            
S1           f            73.0         52.0         0.0          0.0          3390.0       0.0          0            
S2           f            90.0         55.0         0.0          0.0          3390.0       0.0          0            
S3           f            55.0         79.0         0.0          0.0          3390.0       0.0          0            
S4           f            69.0         89.0         0.0          0.0          3390.0       0.0          0            
S5           f            32.0         80.0         0.0          0.0          3390.0       0.0          0            
S6           f            39.0         96.0         0.0          0.0          3390.0       0.0          0            
S7           f            23.0         80.0         0.0          0.0          3390.0       0.0          0            
S8           f            4.0          83.0         0.0          0.0          3390.0       0.0          0            
S9           f            18.0         58.0         0.0          0.0          3390.0       0.0          0            
S10          f            1.0          56.0         0.0          0.0          3390.0       0.0          0            
S11          f            13.0         31.0         0.0          0.0          3390.0       0.0          0            
S12          f            -5.0         38.0         0.0          0.0          3390.0       0.0          0            
S13          f            26.0         37.0         0.0          0.0          3390.0       0.0          0            
S14          f            28.0         13.0         0.0          0.0          3390.0       0.0          0            
S15          f            39.0         31.0         0.0          0.0          3390.0       0.0          0            
S16          f            48.0         11.0         0.0          0.0          3390.0       0.0          0            
S17          f            59.0         17.0         0.0          0.0          3390.0       0.0          0            
S18          f            73.0         23.0         0.0          0.0          3390.0       0.0          0            
S19          f            74.0         32.0         0.0          0.0          3390.0       0.0          0            
S20          f            90.0         44.0         0.0          0.0          3390.0       0.0          0            
C1           cp           52.0         75.0         10.0         302.0        479.0        90.0         C100         
C2           cp           45.0         70.0         30.0         157.0        428.0        90.0         C7           
C3           cp           62.0         69.0         10.0         1138.0       1355.0       90.0         C89          
C4           cp           60.0         66.0         10.0         1247.0       1434.0       90.0         C77          
C5           cp           42.0         65.0         10.0         15.0         208.0        90.0         C99          
C6           cp           16.0         42.0         20.0         209.0        944.0        90.0         C15          
C7           cd           58.0         70.0         -30.0        1059.0       1246.0       90.0         C2           
C8           cd           34.0         60.0         -10.0        2035.0       3288.0       90.0         C10          
C9           cd           28.0         70.0         -40.0        2090.0       3271.0       90.0         C16          
C10          cp           35.0         66.0         10.0         2311.0       3283.0       90.0         C8           
C11          cp           35.0         69.0         10.0         2428.0       3127.0       90.0         C21          
C12          cd           25.0         85.0         -10.0        1772.0       2625.0       90.0         C35          
C13          cd           22.0         75.0         -30.0        2135.0       2834.0       90.0         C38          
C14          cd           22.0         85.0         -20.0        1586.0       2625.0       90.0         C18          
C15          cd           20.0         80.0         -20.0        1858.0       2733.0       90.0         C6           
C16          cp           20.0         85.0         40.0         1512.0       2515.0       90.0         C9           
C17          cp           18.0         75.0         20.0         1895.0       2886.0       90.0         C25          
C18          cp           15.0         75.0         20.0         1299.0       2344.0       90.0         C14          
C19          cp           15.0         80.0         10.0         1461.0       2372.0       0.0          C101         
C20          cp           30.0         50.0         10.0         10.0         963.0        90.0         C27          
C21          cd           30.0         56.0         -10.0        2062.0       3288.0       90.0         C11          
C22          cp           28.0         52.0         20.0         12.0         752.0        90.0         C39          
C23          cd           14.0         66.0         -20.0        1316.0       2129.0       90.0         C31          
C24          cp           25.0         50.0         10.0         15.0         532.0        90.0         C34          
C25          cd           22.0         66.0         -20.0        2177.0       2990.0       90.0         C17          
C26          cd           8.0          62.0         -10.0        1036.0       2213.0       90.0         C36          
C27          cd           23.0         52.0         -10.0        17.0         602.0        90.0         C20          
C28          cd           4.0          55.0         -20.0        1010.0       2043.0       90.0         C37          
C29          cp           20.0         50.0         10.0         20.0         948.0        90.0         C33          
C30          cp           20.0         55.0         10.0         63.0         702.0        90.0         C32          
C31          cp           10.0         35.0         20.0         309.0        1412.0       90.0         C23          
C32          cd           10.0         40.0         -10.0        336.0        1009.0       90.0         C30          
C33          cd           8.0          40.0         -10.0        234.0        1295.0       90.0         C29          
C34          cd           8.0          45.0         -10.0        954.0        1897.0       90.0         C24          
C35          cp           5.0          35.0         10.0         377.0        1534.0       90.0         C12          
C36          cp           5.0          45.0         10.0         819.0        1846.0       90.0         C26          
C37          cp           2.0          40.0         20.0         494.0        1607.0       90.0         C28          
C38          cp           0.0          40.0         30.0         637.0        1648.0       90.0         C13          
C39          cd           0.0          45.0         -20.0        834.0        1641.0       90.0         C22          
C40          cd           36.0         18.0         -20.0        1468.0       2329.0       90.0         C62          
C41          cd           35.0         32.0         -10.0        2480.0       3195.0       90.0         C52          
C42          cd           33.0         32.0         -20.0        2421.0       3070.0       90.0         C60          
C43          cd           33.0         35.0         -10.0        2368.0       2937.0       90.0         C50          
C44          cd           32.0         20.0         -10.0        1621.0       2364.0       90.0         C49          
C45          cd           30.0         30.0         -30.0        1805.0       2564.0       90.0         C46          
C46          cp           34.0         25.0         30.0         1782.0       2395.0       90.0         C45          
C47          cd           30.0         35.0         -20.0        2242.0       2877.0       90.0         C53          
C48          cd           36.0         40.0         -10.0        2605.0       3266.0       90.0         C61          
C49          cp           48.0         20.0         10.0         812.0        1281.0       90.0         C44          
C50          cp           26.0         32.0         10.0         1842.0       2901.0       90.0         C43          
C51          cd           25.0         30.0         -10.0        1883.0       2676.0       90.0         C59          
C52          cp           25.0         35.0         10.0         2070.0       2859.0       90.0         C41          
C53          cp           44.0         5.0          20.0         1078.0       1593.0       90.0         C47          
C54          cp           42.0         10.0         40.0         998.0        1481.0       90.0         C58          
C55          cp           42.0         15.0         10.0         897.0        1392.0       90.0         C57          
C56          cd           40.0         5.0          -10.0        1083.0       1776.0       90.0         C66          
C57          cd           38.0         15.0         -10.0        1426.0       2183.0       90.0         C55          
C58          cd           38.0         5.0          -40.0        1133.0       1910.0       90.0         C54          
C59          cp           38.0         10.0         10.0         1392.0       2027.0       90.0         C51          
C60          cp           35.0         5.0          20.0         1180.0       2049.0       90.0         C42          
C61          cp           50.0         30.0         10.0         223.0        738.0        90.0         C48          
C62          cp           50.0         35.0         20.0         18.0         474.0        90.0         C40          
C63          cd           50.0         40.0         -10.0        14.0         360.0        90.0         C67          
C64          cd           48.0         30.0         -10.0        246.0        899.0        90.0         C72          
C65          cd           44.0         25.0         -50.0        704.0        1197.0       90.0         C74          
C66          cp           47.0         35.0         10.0         393.0        942.0        90.0         C56          
C67          cp           47.0         40.0         10.0         12.0         424.0        90.0         C63          
C68          cd           42.0         30.0         -10.0        641.0        1070.0       90.0         C69          
C69          cp           45.0         35.0         10.0         534.0        985.0        90.0         C68          
C70          cd           95.0         30.0         -10.0        2119.0       2682.0       90.0         C76          
C71          cp           95.0         35.0         20.0         2192.0       2419.0       90.0         C87          
C72          cp           53.0         30.0         10.0         131.0        644.0        90.0         C64          
C73          cd           92.0         30.0         -20.0        2169.0       2818.0       90.0         C82          
C74          cp           53.0         35.0         50.0         87.0         498.0        90.0         C65          
C75          cp           45.0         65.0         20.0         49.0         346.0        90.0         C95          
C76          cp           90.0         35.0         10.0         2106.0       2315.0       90.0         C70          
C77          cd           72.0         45.0         -10.0        2701.0       3258.0       90.0         C4           
C78          cd           78.0         40.0         -10.0        2599.0       3164.0       90.0         C79          
C79          cp           87.0         30.0         10.0         2505.0       2870.0       90.0         C78          
C80          cp           85.0         25.0         10.0         2369.0       2816.0       90.0         C90          
C81          cp           85.0         35.0         30.0         2563.0       3002.0       0.0          C102         
C82          cp           75.0         55.0         20.0         1894.0       2115.0       90.0         C73          
C83          cd           72.0         55.0         -30.0        1751.0       2072.0       90.0         C88          
C84          cp           70.0         58.0         20.0         1617.0       1824.0       90.0         C85          
C85          cd           86.0         46.0         -20.0        1969.0       2248.0       90.0         C84          
C86          cp           66.0         55.0         10.0         1710.0       1921.0       90.0         C96          
C87          cd           64.0         46.0         -20.0        2976.0       3275.0       90.0         C71          
C88          cp           65.0         60.0         30.0         1482.0       1769.0       90.0         C83          
