StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
D0           d            35.0         35.0         0.0          0.0          230.0        0.0          0            
S0           f            35.0         35.0         0.0          0.0          230.0        0.0          0            
S1           f            61.0         37.0         0.0          0.0          230.0        0.0          0            
S2           f            74.0         39.0         0.0          0.0          230.0        0.0          0            
S3           f            47.0         57.0         0.0          0.0          230.0        0.0          0            
S4           f            57.0         65.0         0.0          0.0          230.0        0.0          0            
S5           f            29.0         59.0         0.0          0.0          230.0        0.0          0            
S6           f            34.0         71.0         0.0          0.0          230.0        0.0          0            
S7           f            22.0         58.0         0.0          0.0          230.0        0.0          0            
S8           f            7.0          61.0         0.0          0.0          230.0        0.0          0            
S9           f            18.0         41.0         0.0          0.0          230.0        0.0          0            
S10          f            5.0          39.0         0.0          0.0          230.0        0.0          0            
S11          f            14.0         20.0         0.0          0.0          230.0        0.0          0            
S12          f            0.0          26.0         0.0          0.0          230.0        0.0          0            
S13          f            24.0         25.0         0.0          0.0          230.0        0.0          0            
S14          f            26.0         6.0          0.0          0.0          230.0        0.0          0            
S15          f            34.0         20.0         0.0          0.0          230.0        0.0          0            
S16          f            41.0         5.0          0.0          0.0          230.0        0.0          0            
S17          f            50.0         9.0          0.0          0.0          230.0        0.0          0            
S18          f            61.0         14.0         0.0          0.0          230.0        0.0          0            
S19          f            62.0         21.0         0.0          0.0          230.0        0.0          0            
S20          f            74.0         30.0         0.0          0.0          230.0        0.0          0            
C1           cd           41.0         49.0         -20.0        73.0         204.0        10.0         C65          
C2           cp           35.0         17.0         7.0          18.0         147.0        10.0         C22          
C3           cd           55.0         45.0         -9.0         76.0         165.0        10.0         C29          
C4           cd           55.0         20.0         -31.0        73.0         195.0        10.0         C39          
C5           cp           15.0         30.0         26.0         20.0         167.0        10.0         C38          
C6           cp           25.0         30.0         3.0          49.0         158.0        10.0         C83          
C7           cp           20.0         50.0         5.0          36.0         135.0        10.0         C47          
C8           cd           10.0         43.0         -16.0        50.0         149.0        10.0         C82          
C9           cp           55.0         60.0         16.0         47.0         156.0        10.0         C50          
C10          cp           30.0         60.0         16.0         85.0         172.0        10.0         C70          
C11          cd           20.0         65.0         -19.0        33.0         152.0        10.0         C62          
C12          cd           50.0         35.0         -11.0        15.0         133.0        10.0         C21          
C13          cp           30.0         25.0         23.0         79.0         208.0        10.0         C58          
C14          cp           15.0         10.0         20.0         32.0         187.0        10.0         C91          
C15          cp           30.0         5.0          8.0          30.0         152.0        10.0         C42          
C16          cp           10.0         20.0         19.0         29.0         139.0        10.0         C96          
C17          cd           5.0          30.0         -12.0        60.0         189.0        10.0         C18          
C18          cp           20.0         40.0         12.0         47.0         136.0        10.0         C17          
C19          cp           15.0         60.0         17.0         32.0         146.0        10.0         C63          
C20          cp           45.0         65.0         9.0          79.0         182.0        0.0          C105         
C21          cp           45.0         20.0         11.0         18.0         136.0        10.0         C12          
C22          cd           45.0         10.0         -7.0         50.0         153.0        10.0         C2           
C23          cd           55.0         5.0          -5.0         36.0         155.0        10.0         C41          
C24          cd           65.0         35.0         -9.0         58.0         190.0        10.0         C73          
C25          cp           65.0         20.0         6.0          56.0         186.0        10.0         C54          
C26          cd           45.0         30.0         -9.0         87.0         186.0        10.0         C40          
C27          cp           35.0         40.0         16.0         5.0          140.0        10.0         C31          
C28          cp           41.0         37.0         16.0         6.0          136.0        10.0         C78          
C29          cp           64.0         42.0         9.0          29.0         150.0        10.0         C3           
C30          cp           40.0         60.0         21.0         25.0         132.0        10.0         C51          
C31          cd           31.0         52.0         -16.0        17.0         138.0        10.0         C27          
C32          cd           35.0         69.0         -9.0         67.0         186.0        10.0         C64          
C33          cp           53.0         52.0         11.0         24.0         161.0        10.0         C68          
C34          cd           65.0         55.0         -13.0        70.0         173.0        10.0         C76          
C35          cp           63.0         65.0         8.0          54.0         178.0        10.0         C66          
C36          cp           2.0          60.0         5.0          41.0         178.0        10.0         C49          
C37          cd           20.0         20.0         -18.0        87.0         190.0        10.0         C44          
C38          cd           5.0          5.0          -26.0        42.0         153.0        10.0         C5           
C39          cp           60.0         12.0         31.0         33.0         186.0        10.0         C4           
C40          cp           40.0         25.0         9.0          40.0         139.0        10.0         C26          
C41          cp           42.0         7.0          5.0          43.0         160.0        10.0         C23          
C42          cd           24.0         12.0         -8.0         25.0         158.0        10.0         C15          
C43          cp           23.0         3.0          7.0          82.0         185.0        10.0         C97          
C44          cp           11.0         14.0         18.0         31.0         144.0        10.0         C37          
C45          cp           6.0          38.0         16.0         29.0         169.0        10.0         C60          
C46          cd           2.0          48.0         -9.0         63.0         180.0        10.0         C88          
C47          cd           8.0          56.0         -5.0         34.0         176.0        10.0         C7           
C48          cp           13.0         52.0         36.0         65.0         192.0        0.0          C104         
C49          cd           6.0          68.0         -5.0         73.0         152.0        10.0         C36          
C50          cd           47.0         47.0         -16.0        75.0         182.0        10.0         C9           
C51          cd           49.0         58.0         -21.0        36.0         149.0        10.0         C30          
C52          cp           27.0         43.0         9.0          11.0         133.0        10.0         C90          
C53          cp           37.0         31.0         14.0         51.0         148.0        10.0         C55          
C54          cd           57.0         29.0         -6.0         90.0         197.0        10.0         C25          
C55          cd           63.0         23.0         -14.0        69.0         189.0        10.0         C53          
C56          cd           53.0         12.0         -25.0        76.0         190.0        10.0         C72          
C57          cd           32.0         12.0         -10.0        48.0         163.0        10.0         C98          
C58          cd           36.0         26.0         -23.0        84.0         210.0        10.0         C13          
C59          cp           21.0         24.0         28.0         17.0         183.0        10.0         C89          
C60          cd           17.0         34.0         -16.0        70.0         201.0        10.0         C45          
C61          cp           12.0         24.0         13.0         29.0         132.0        10.0         C86          
C62          cp           24.0         58.0         19.0         25.0         154.0        10.0         C11          
C63          cd           27.0         69.0         -17.0        34.0         172.0        10.0         C19          
C64          cp           15.0         77.0         9.0          46.0         165.0        10.0         C32          
C65          cp           62.0         77.0         20.0         49.0         170.0        10.0         C1           
C66          cd           49.0         73.0         -8.0         68.0         179.0        10.0         C35          
C67          cd           67.0         5.0          -18.0        43.0         156.0        10.0         C75          
C68          cd           56.0         39.0         -11.0        80.0         198.0        10.0         C33          
C69          cp           37.0         47.0         6.0          12.0         137.0        10.0         C77          
C70          cd           37.0         56.0         -16.0        48.0         198.0        10.0         C10          
C71          cd           57.0         68.0         -23.0        39.0         148.0        10.0         C79          
C72          cp           47.0         16.0         25.0         22.0         170.0        10.0         C56          
C73          cp           44.0         17.0         9.0          30.0         135.0        10.0         C24          
C74          cp           46.0         13.0         8.0          74.0         195.0        0.0          C101         
C75          cp           49.0         11.0         18.0         27.0         141.0        10.0         C67          
C76          cp           49.0         42.0         13.0         27.0         128.0        10.0         C34          
C77          cd           53.0         43.0         -6.0         72.0         200.0        10.0         C69          
C78          cd           61.0         52.0         -16.0        42.0         159.0        10.0         C28          
C79          cp           57.0         48.0         23.0         47.0         146.0        10.0         C71          
C80          cp           56.0         37.0         6.0          73.0         198.0        0.0          C103         
C81          cp           55.0         54.0         26.0         57.0         140.0        0.0          C106         
C82          cp           15.0         47.0         16.0         23.0         146.0        10.0         C8           
C83          cd           14.0         37.0         -3.0         21.0         157.0        10.0         C6           
C84          cd           11.0         31.0         -27.0        57.0         154.0        10.0         C94          
C85          cp           16.0         22.0         41.0         44.0         147.0        10.0         C93          
C86          cd           4.0          18.0         -13.0        49.0         148.0        10.0         C61          
